Date,Runs Scored
"May 9, 2019",2
"May 14, 2019",2
"May 15, 2019",5
"May 16, 2019",2
"May 17, 2019",3
"May 18, 2019",1
"May 19, 2019",1
"May 28, 2019",4
"May 29, 2019",0
"June 4, 2019",1
"June 5, 2019",4
"June 6, 2019",3
"June 11, 2019",3
"June 12, 2019",1
"June 13, 2019",3
"June 14, 2019",0
"June 15, 2019",3
"June 16, 2019",2
"June 21, 2019",6
"June 22, 2019",1
"June 23, 2019",3
"June 25, 2019",7
"June 26, 2019",5
"June 27, 2019",3
"July 2, 2019",0
"July 3, 2019",5
"July 4, 2019",3
"July 5, 2019",1
"July 6, 2019",5
"July 7, 2019",3
"July 19, 2019",2
"July 20, 2019",3
"July 21, 2019",2
"July 23, 2019",7
"July 24, 2019",1
"July 25, 2019",4
"August 2, 2019",6
"August 3, 2019",3
"August 4, 2019",8
"August 13, 2019",5
"August 14, 2019",3
"August 15, 2019",4
"August 16, 2019",10
"August 17, 2019",2
"August 18, 2019",10
"August 30, 2019",6
"August 31, 2019",2
"September 1, 2019",1
